class,method,returnType,parameters
com.policynepal.autocare.vehicle.controller.VehicleController,getVehiclesWithPaging,com.policynepal.autocare.common.dto.PageDto,java.lang.Integer;java.lang.Integer
com.policynepal.autocare.vehicle.controller.VehicleController,updateVehicle,com.policynepal.autocare.vehicle.model.Vehicle,java.lang.String;com.policynepal.autocare.vehicle.dto.VehicleDto
com.policynepal.autocare.vehicle.controller.VehicleController,searchVehiclesWithFilterAndPaging,com.policynepal.autocare.common.dto.PageDto,java.lang.Integer;java.lang.Integer;com.policynepal.autocare.vehicle.dto.SearchVehiclesDto
com.policynepal.autocare.vehicle.controller.VehicleController,deleteVehicle,java.util.Map<java.lang.String, java.lang.Boolean>,java.lang.String
com.policynepal.autocare.vehicle.controller.VehicleController,uploadImage,com.policynepal.autocare.vehicle.model.VehicleImage,java.lang.String;MultipartFile
com.policynepal.autocare.vehicle.controller.VehicleController,deleteImage,java.util.Map<java.lang.String, java.lang.Boolean>,java.lang.String;java.lang.String
com.policynepal.autocare.vehicle.dto.SearchVehiclesDto,getBrands,java.util.List<java.lang.String>,
com.policynepal.autocare.vehicle.dto.SearchVehiclesDto,setBrands,void,java.util.List<java.lang.String>
com.policynepal.autocare.vehicle.dto.SearchVehiclesDto,getMinPrice,java.lang.Float,
com.policynepal.autocare.vehicle.dto.SearchVehiclesDto,setMinPrice,void,java.lang.Float
com.policynepal.autocare.vehicle.dto.SearchVehiclesDto,getMaxPrice,java.lang.Float,
com.policynepal.autocare.vehicle.dto.SearchVehiclesDto,setMaxPrice,void,java.lang.Float
com.policynepal.autocare.vehicle.dto.SearchVehiclesDto,getCondition,java.util.List<java.lang.String>,
com.policynepal.autocare.vehicle.dto.SearchVehiclesDto,setCondition,void,java.util.List<java.lang.String>
com.policynepal.autocare.vehicle.dto.SearchVehiclesDto,getLocationDetails,com.policynepal.autocare.vehicle.dto.SearchVehiclesDto.LocationDetails,
com.policynepal.autocare.vehicle.dto.SearchVehiclesDto,setLocationDetails,void,com.policynepal.autocare.vehicle.dto.SearchVehiclesDto.LocationDetails
com.policynepal.autocare.vehicle.dto.SearchVehiclesDto,getLocation,java.lang.Double[],
com.policynepal.autocare.vehicle.dto.SearchVehiclesDto,setLocation,void,java.lang.Double[]
com.policynepal.autocare.vehicle.dto.SearchVehiclesDto,getDistance,java.lang.Float,
com.policynepal.autocare.vehicle.dto.SearchVehiclesDto,setDistance,void,java.lang.Float
com.policynepal.autocare.vehicle.dto.SearchVehiclesDto.LocationDetails,getLocation,java.lang.Double[],
com.policynepal.autocare.vehicle.dto.SearchVehiclesDto.LocationDetails,setLocation,void,java.lang.Double[]
com.policynepal.autocare.vehicle.dto.SearchVehiclesDto.LocationDetails,getDistance,java.lang.Float,
com.policynepal.autocare.vehicle.dto.SearchVehiclesDto.LocationDetails,setDistance,void,java.lang.Float
com.policynepal.autocare.vehicle.dto.VehicleDto,getBrand,java.lang.String,
com.policynepal.autocare.vehicle.dto.VehicleDto,setBrand,void,java.lang.String
com.policynepal.autocare.vehicle.dto.VehicleDto,getModel,java.lang.String,
com.policynepal.autocare.vehicle.dto.VehicleDto,setModel,void,java.lang.String
com.policynepal.autocare.vehicle.dto.VehicleDto,getTwoWheeler,java.lang.Boolean,
com.policynepal.autocare.vehicle.dto.VehicleDto,setTwoWheeler,void,java.lang.Boolean
com.policynepal.autocare.vehicle.dto.VehicleDto,getNewVehicle,java.lang.Boolean,
com.policynepal.autocare.vehicle.dto.VehicleDto,setNewVehicle,void,java.lang.Boolean
com.policynepal.autocare.vehicle.dto.VehicleDto,getDistanceDriven,java.lang.Double,
com.policynepal.autocare.vehicle.dto.VehicleDto,setDistanceDriven,void,java.lang.Double
com.policynepal.autocare.vehicle.dto.VehicleDto,getPrice,java.lang.Double,
com.policynepal.autocare.vehicle.dto.VehicleDto,setPrice,void,java.lang.Double
com.policynepal.autocare.vehicle.dto.VehicleDto,getSold,java.lang.Boolean,
com.policynepal.autocare.vehicle.dto.VehicleDto,setSold,void,java.lang.Boolean
com.policynepal.autocare.vehicle.dto.VehicleDto,getImages,java.util.List<java.lang.String>,
com.policynepal.autocare.vehicle.dto.VehicleDto,setImages,void,java.util.List<java.lang.String>
com.policynepal.autocare.vehicle.dto.VehicleDto,getDescription,java.lang.String,
com.policynepal.autocare.vehicle.dto.VehicleDto,setDescription,void,java.lang.String
com.policynepal.autocare.vehicle.dto.VehicleDto,getUsedMonths,java.lang.Float,
com.policynepal.autocare.vehicle.dto.VehicleDto,setUsedMonths,void,java.lang.Float
com.policynepal.autocare.vehicle.dto.VehicleDto,getPriceNegotiable,java.lang.Boolean,
com.policynepal.autocare.vehicle.dto.VehicleDto,setPriceNegotiable,void,java.lang.Boolean
com.policynepal.autocare.vehicle.dto.VehicleDto,getMileage,java.lang.Float,
com.policynepal.autocare.vehicle.dto.VehicleDto,setMileage,void,java.lang.Float
com.policynepal.autocare.vehicle.dto.VehicleDto,getTags,java.util.List<java.lang.String>,
com.policynepal.autocare.vehicle.dto.VehicleDto,setTags,void,java.util.List<java.lang.String>
com.policynepal.autocare.vehicle.dto.VehicleDto,getLocation,java.lang.Double[],
com.policynepal.autocare.vehicle.dto.VehicleDto,setLocation,void,java.lang.Double[]
com.policynepal.autocare.vehicle.model.DeletedVehicle,getId,java.lang.String,
com.policynepal.autocare.vehicle.model.DeletedVehicle,setId,void,java.lang.String
com.policynepal.autocare.vehicle.model.DeletedVehicle,getVehicle,com.policynepal.autocare.vehicle.model.Vehicle,
com.policynepal.autocare.vehicle.model.DeletedVehicle,setVehicle,void,com.policynepal.autocare.vehicle.model.Vehicle
com.policynepal.autocare.vehicle.model.Vehicle,getId,java.lang.String,
com.policynepal.autocare.vehicle.model.Vehicle,setId,void,java.lang.String
com.policynepal.autocare.vehicle.model.Vehicle,getUserId,java.lang.String,
com.policynepal.autocare.vehicle.model.Vehicle,setUserId,void,java.lang.String
com.policynepal.autocare.vehicle.model.Vehicle,getBrand,java.lang.String,
com.policynepal.autocare.vehicle.model.Vehicle,setBrand,void,java.lang.String
com.policynepal.autocare.vehicle.model.Vehicle,getModel,java.lang.String,
com.policynepal.autocare.vehicle.model.Vehicle,setModel,void,java.lang.String
com.policynepal.autocare.vehicle.model.Vehicle,getTwoWheeler,java.lang.Boolean,
com.policynepal.autocare.vehicle.model.Vehicle,setTwoWheeler,void,java.lang.Boolean
com.policynepal.autocare.vehicle.model.Vehicle,getNewVehicle,java.lang.Boolean,
com.policynepal.autocare.vehicle.model.Vehicle,setNewVehicle,void,java.lang.Boolean
com.policynepal.autocare.vehicle.model.Vehicle,getDistanceDriven,java.lang.Double,
com.policynepal.autocare.vehicle.model.Vehicle,setDistanceDriven,void,java.lang.Double
com.policynepal.autocare.vehicle.model.Vehicle,getPrice,java.lang.Double,
com.policynepal.autocare.vehicle.model.Vehicle,setPrice,void,java.lang.Double
com.policynepal.autocare.vehicle.model.Vehicle,getSold,java.lang.Boolean,
com.policynepal.autocare.vehicle.model.Vehicle,setSold,void,java.lang.Boolean
com.policynepal.autocare.vehicle.model.Vehicle,getImages,java.util.List<com.policynepal.autocare.vehicle.model.VehicleImage>,
com.policynepal.autocare.vehicle.model.Vehicle,setImages,void,java.util.List<com.policynepal.autocare.vehicle.model.VehicleImage>
com.policynepal.autocare.vehicle.model.Vehicle,getDescription,java.lang.String,
com.policynepal.autocare.vehicle.model.Vehicle,setDescription,void,java.lang.String
com.policynepal.autocare.vehicle.model.Vehicle,getUsedMonths,java.lang.Float,
com.policynepal.autocare.vehicle.model.Vehicle,setUsedMonths,void,java.lang.Float
com.policynepal.autocare.vehicle.model.Vehicle,getPriceNegotiable,java.lang.Boolean,
com.policynepal.autocare.vehicle.model.Vehicle,setPriceNegotiable,void,java.lang.Boolean
com.policynepal.autocare.vehicle.model.Vehicle,getMileage,java.lang.Float,
com.policynepal.autocare.vehicle.model.Vehicle,setMileage,void,java.lang.Float
com.policynepal.autocare.vehicle.model.Vehicle,getTags,java.util.List<java.lang.String>,
com.policynepal.autocare.vehicle.model.Vehicle,setTags,void,java.util.List<java.lang.String>
com.policynepal.autocare.vehicle.model.Vehicle,getCreatedDate,java.util.Date,
com.policynepal.autocare.vehicle.model.Vehicle,getModifiedDate,java.util.Date,
com.policynepal.autocare.vehicle.model.Vehicle,getLocation,java.lang.Double[],
com.policynepal.autocare.vehicle.model.Vehicle,setLocation,void,java.lang.Double[]
com.policynepal.autocare.vehicle.model.Vehicle,toString,java.lang.String,
com.policynepal.autocare.vehicle.model.VehicleImage,getImageId,java.lang.String,
com.policynepal.autocare.vehicle.model.VehicleImage,setImageId,void,java.lang.String
com.policynepal.autocare.vehicle.model.VehicleImage,getUrl,java.lang.String,
com.policynepal.autocare.vehicle.model.VehicleImage,setUrl,void,java.lang.String
com.policynepal.autocare.vehicle.model.VehicleImage,getFileName,java.lang.String,
com.policynepal.autocare.vehicle.model.VehicleImage,setFileName,void,java.lang.String
com.policynepal.autocare.vehicle.repository.CustomVehicleRepository,searchVehiclesWithFilterAndPaging,Page<Vehicle>,com.policynepal.autocare.vehicle.dto.SearchVehiclesDto;Pageable
com.policynepal.autocare.vehicle.repository.CustomVehicleRepositoryImpl,searchVehiclesWithFilterAndPaging,Page<Vehicle>,com.policynepal.autocare.vehicle.dto.SearchVehiclesDto;Pageable
com.policynepal.autocare.vehicle.repository.CustomVehicleRepositoryImpl,getLocationSearchCriteria,Criteria,com.policynepal.autocare.vehicle.dto.SearchVehiclesDto.LocationDetails
com.policynepal.autocare.vehicle.service.VehicleService,addVehicle,com.policynepal.autocare.vehicle.model.Vehicle,com.policynepal.autocare.vehicle.dto.VehicleDto
com.policynepal.autocare.vehicle.service.VehicleService,findVehiclesWithPaging,com.policynepal.autocare.common.dto.PageDto,java.lang.Integer;java.lang.Integer
com.policynepal.autocare.vehicle.service.VehicleService,updateVehicle,com.policynepal.autocare.vehicle.model.Vehicle,java.lang.String;com.policynepal.autocare.vehicle.dto.VehicleDto
com.policynepal.autocare.vehicle.service.VehicleService,validateVehicleOwner,com.policynepal.autocare.vehicle.model.Vehicle,java.lang.String;com.policynepal.autocare.vehicle.model.Vehicle
com.policynepal.autocare.vehicle.service.VehicleService,searchVehiclesWithFilterAndPaging,com.policynepal.autocare.common.dto.PageDto,com.policynepal.autocare.vehicle.dto.SearchVehiclesDto;java.lang.Integer;java.lang.Integer
com.policynepal.autocare.vehicle.service.VehicleService,deleteVehicle,void,java.lang.String
com.policynepal.autocare.vehicle.service.VehicleService,uploadImage,com.policynepal.autocare.vehicle.model.VehicleImage,java.lang.String;MultipartFile
com.policynepal.autocare.vehicle.service.VehicleService,deleteVehicleImage,void,java.lang.String;java.lang.String
