class,method,returnType,parameters
net.jforum.ControllerUtils,checkAutoLogin,boolean,net.jforum.entities.UserSession
net.jforum.ControllerUtils,configureUserSession,void,net.jforum.entities.UserSession;net.jforum.entities.User
net.jforum.ControllerUtils,checkSSO,void,net.jforum.entities.UserSession
net.jforum.ControllerUtils,refreshSession,void,
net.jforum.ControllerUtils,getCookie,Cookie,java.lang.String
net.jforum.ControllerUtils,getCookieTemplate,Cookie,java.lang.String
net.jforum.ControllerUtils,addCookie,void,java.lang.String;java.lang.String
net.jforum.ControllerUtils,addCookieTemplate,void,java.lang.String;java.lang.String
net.jforum.csrf.CsrfFilter,destroy,void,
net.jforum.csrf.CsrfFilter,init,void,FilterConfig
net.jforum.csrf.CsrfFilter,getJForumMethodName,java.lang.String,HttpServletRequest
net.jforum.csrf.CsrfFilter,doFilter,void,ServletRequest;ServletResponse;FilterChain
net.jforum.csrf.CsrfHttpServletRequestWrapper,getRequestURI,java.lang.String,
net.jforum.csrf.CsrfHttpServletRequestWrapper,getHeader,java.lang.String,java.lang.String
net.jforum.csrf.CsrfListener,contextInitialized,void,ServletContextEvent
net.jforum.csrf.CsrfListener,addCsrfExcludeProperties,void,java.lang.String;java.util.Properties
net.jforum.csrf.CsrfListener,contextDestroyed,void,ServletContextEvent
net.jforum.csrf.CsrfListener,getResourceStream,java.io.InputStream,java.lang.String;ServletContext
net.jforum.csrf.CsrfLogger,log,void,java.lang.String
net.jforum.csrf.CsrfLogger,log,void,LogLevel;java.lang.String
net.jforum.csrf.CsrfLogger,log,void,java.lang.Exception
net.jforum.csrf.CsrfLogger,log,void,LogLevel;java.lang.Exception
net.jforum.dao.ApiDAO,isValid,boolean,java.lang.String
net.jforum.dao.AttachmentDAO,addAttachment,void,net.jforum.entities.Attachment
net.jforum.dao.AttachmentDAO,updateAttachment,void,net.jforum.entities.Attachment
net.jforum.dao.AttachmentDAO,removeAttachment,void,int;int
net.jforum.dao.AttachmentDAO,selectAttachments,java.util.List<net.jforum.entities.Attachment>,int
net.jforum.dao.AttachmentDAO,selectAttachmentById,net.jforum.entities.Attachment,int
net.jforum.dao.AttachmentDAO,addQuotaLimit,void,net.jforum.entities.QuotaLimit
net.jforum.dao.AttachmentDAO,updateQuotaLimit,void,net.jforum.entities.QuotaLimit
net.jforum.dao.AttachmentDAO,removeQuotaLimit,void,int
net.jforum.dao.AttachmentDAO,removeQuotaLimit,void,java.lang.String[]
net.jforum.dao.AttachmentDAO,setGroupQuota,void,int;int
net.jforum.dao.AttachmentDAO,cleanGroupQuota,void,
net.jforum.dao.AttachmentDAO,selectQuotaLimit,java.util.List<net.jforum.entities.QuotaLimit>,
net.jforum.dao.AttachmentDAO,selectQuotaLimitByGroup,net.jforum.entities.QuotaLimit,int
net.jforum.dao.AttachmentDAO,selectGroupsQuotaLimits,java.util.Map<java.lang.Integer, java.lang.Integer>,
net.jforum.dao.AttachmentDAO,addExtensionGroup,void,net.jforum.entities.AttachmentExtensionGroup
net.jforum.dao.AttachmentDAO,updateExtensionGroup,void,net.jforum.entities.AttachmentExtensionGroup
net.jforum.dao.AttachmentDAO,removeExtensionGroups,void,java.lang.String[]
net.jforum.dao.AttachmentDAO,selectExtensionGroups,java.util.List<net.jforum.entities.AttachmentExtensionGroup>,
net.jforum.dao.AttachmentDAO,extensionsForSecurity,java.util.Map<java.lang.String, java.lang.Boolean>,
net.jforum.dao.AttachmentDAO,addExtension,void,net.jforum.entities.AttachmentExtension
net.jforum.dao.AttachmentDAO,updateExtension,void,net.jforum.entities.AttachmentExtension
net.jforum.dao.AttachmentDAO,removeExtensions,void,java.lang.String[]
net.jforum.dao.AttachmentDAO,selectExtensions,java.util.List<net.jforum.entities.AttachmentExtension>,
net.jforum.dao.AttachmentDAO,selectExtension,net.jforum.entities.AttachmentExtension,java.lang.String
net.jforum.dao.AttachmentDAO,isPhysicalDownloadMode,boolean,int
net.jforum.dao.AttachmentDAO,selectTopDownloads,java.util.List<net.jforum.entities.TopDownloadInfo>,int
net.jforum.dao.BanlistDAO,insert,void,net.jforum.entities.Banlist
net.jforum.dao.BanlistDAO,delete,void,int
net.jforum.dao.BanlistDAO,selectAll,java.util.List<net.jforum.entities.Banlist>,
net.jforum.dao.BannerDAO,selectById,net.jforum.entities.Banner,int
net.jforum.dao.BannerDAO,selectAll,java.util.List<net.jforum.entities.Banner>,
net.jforum.dao.BannerDAO,addNew,int,net.jforum.entities.Banner
net.jforum.dao.BannerDAO,update,void,net.jforum.entities.Banner
net.jforum.dao.BannerDAO,canDelete,boolean,int
net.jforum.dao.BannerDAO,delete,void,int
net.jforum.dao.BannerDAO,selectActiveBannerByPlacement,java.util.List<net.jforum.entities.Banner>,int
net.jforum.dao.BookmarkDAO,add,void,net.jforum.entities.Bookmark
net.jforum.dao.BookmarkDAO,update,void,net.jforum.entities.Bookmark
net.jforum.dao.BookmarkDAO,remove,void,int
net.jforum.dao.BookmarkDAO,selectByUser,java.util.List<net.jforum.entities.Bookmark>,int;int
net.jforum.dao.BookmarkDAO,selectByUser,java.util.List<net.jforum.entities.Bookmark>,int
net.jforum.dao.BookmarkDAO,selectById,net.jforum.entities.Bookmark,int
net.jforum.dao.BookmarkDAO,selectForUpdate,net.jforum.entities.Bookmark,int;int;int
net.jforum.dao.CategoryDAO,selectById,net.jforum.entities.Category,int
net.jforum.dao.CategoryDAO,selectAll,java.util.List<net.jforum.entities.Category>,
net.jforum.dao.CategoryDAO,canDelete,boolean,int
net.jforum.dao.CategoryDAO,delete,void,int
net.jforum.dao.CategoryDAO,update,void,net.jforum.entities.Category
net.jforum.dao.CategoryDAO,addNew,int,net.jforum.entities.Category
net.jforum.dao.CategoryDAO,setOrderUp,void,net.jforum.entities.Category;net.jforum.entities.Category
net.jforum.dao.CategoryDAO,setOrderDown,void,net.jforum.entities.Category;net.jforum.entities.Category
net.jforum.dao.ConfigDAO,insert,void,net.jforum.entities.Config
net.jforum.dao.ConfigDAO,update,void,net.jforum.entities.Config
net.jforum.dao.ConfigDAO,update,void,java.util.Properties
net.jforum.dao.ConfigDAO,delete,void,net.jforum.entities.Config
net.jforum.dao.ConfigDAO,selectAll,java.util.List<net.jforum.entities.Config>,
net.jforum.dao.ConfigDAO,selectByName,net.jforum.entities.Config,java.lang.String
net.jforum.dao.DataAccessDriver,init,void,net.jforum.dao.DataAccessDriver
net.jforum.dao.DataAccessDriver,getInstance,net.jforum.dao.DataAccessDriver,
net.jforum.dao.DataAccessDriver,newForumDAO,net.jforum.dao.ForumDAO,
net.jforum.dao.DataAccessDriver,newGroupDAO,net.jforum.dao.GroupDAO,
net.jforum.dao.DataAccessDriver,newPostDAO,net.jforum.dao.PostDAO,
net.jforum.dao.DataAccessDriver,newPollDAO,net.jforum.dao.PollDAO,
net.jforum.dao.DataAccessDriver,newRankingDAO,net.jforum.dao.RankingDAO,
net.jforum.dao.DataAccessDriver,newTopicDAO,net.jforum.dao.TopicDAO,
net.jforum.dao.DataAccessDriver,newUserDAO,net.jforum.dao.UserDAO,
net.jforum.dao.DataAccessDriver,newCategoryDAO,net.jforum.dao.CategoryDAO,
net.jforum.dao.DataAccessDriver,newTreeGroupDAO,net.jforum.dao.TreeGroupDAO,
net.jforum.dao.DataAccessDriver,newSmilieDAO,net.jforum.dao.SmilieDAO,
net.jforum.dao.DataAccessDriver,newGroupSecurityDAO,net.jforum.dao.GroupSecurityDAO,
net.jforum.dao.DataAccessDriver,newPrivateMessageDAO,net.jforum.dao.PrivateMessageDAO,
net.jforum.dao.DataAccessDriver,newUserSessionDAO,net.jforum.dao.UserSessionDAO,
net.jforum.dao.DataAccessDriver,newConfigDAO,net.jforum.dao.ConfigDAO,
net.jforum.dao.DataAccessDriver,newKarmaDAO,net.jforum.dao.KarmaDAO,
net.jforum.dao.DataAccessDriver,newBookmarkDAO,net.jforum.dao.BookmarkDAO,
net.jforum.dao.DataAccessDriver,newAttachmentDAO,net.jforum.dao.AttachmentDAO,
net.jforum.dao.DataAccessDriver,newModerationDAO,net.jforum.dao.ModerationDAO,
net.jforum.dao.DataAccessDriver,newBannerDAO,net.jforum.dao.BannerDAO,
net.jforum.dao.DataAccessDriver,newSummaryDAO,net.jforum.dao.SummaryDAO,
net.jforum.dao.DataAccessDriver,newMailIntegrationDAO,net.jforum.dao.MailIntegrationDAO,
